DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240908104,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1145,09,Van Nuys,0946,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1307,62,F,W,101,STREET,,,IC,Invest Cont,740,,,,HAZELTINE                    AV,VALLEYHEART                  DR,34.1745,-118.4356
240908428,04/25/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1137,09,Van Nuys,0933,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0325 1602,0,X,X,238,TELECOMMUNICATION FACILITY/LOCATION,,,IC,Invest Cont,341,,,,6300    VAN NUYS                     BL,,34.1846,-118.4488
240708237,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1824,07,Wilshire,0722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,417,THE BEVERLY CONNECTION,,,IC,Invest Cont,442,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
240908171,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1930,09,Van Nuys,0904,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,7900 N  SEPULVEDA                    BL,,34.2141,-118.4662
240908146,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1850,09,Van Nuys,0971,1,330,BURGLARY FROM VEHICLE,0344 1300 1307,33,M,F,101,STREET,,,IC,Invest Cont,330,,,,N  SEPULVEDA                    BL,CAMARILLO                    ST,34.1576,-118.4659
241708488,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1800,17,Devonshire,1716,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 0344 1202 1602,76,M,W,101,STREET,,,IC,Invest Cont,331,,,,17100    GUNTHER                      ST,,34.2834,-118.5047
241708447,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0840,17,Devonshire,1738,2,624,BATTERY - SIMPLE ASSAULT,1822 0416,44,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,16100    SAN FERNANDO MISSION         BL,,34.2719,-118.4828
240908162,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1615,09,Van Nuys,0963,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,48,M,W,752,FIRE STATION,511,VERBAL THREAT,IC,Invest Cont,930,,,,5100 N  SEPULVEDA                    BL,,34.163,-118.4661
241700807,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2320,17,Devonshire,1799,1,210,ROBBERY,0330 0916 0342 1210 0355 1402 0344 1310 1822 0302,22,M,A,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,PARTHENIA                    ST,AQUEDUCT                     AV,34.2283,-118.4742
240209003,04/19/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1530,02,Rampart,0204,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1000    MYRA                         AV,,34.0897,-118.2845
241708531,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1053,17,Devonshire,1757,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,411,PET STORE,,,IC,Invest Cont,442,,,,10100    BALBOA                       BL,,34.2539,-118.4967
241708628,04/22/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1900,17,Devonshire,1727,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1202 1602 0385 0329,68,F,W,101,STREET,,,IC,Invest Cont,331,,,,19100    LUDLOW                       ST,,34.2706,-118.5497
240908142,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2100,09,Van Nuys,0926,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,13900    GILMORE                      ST,,34.1876,-118.4356
241708450,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1655,17,Devonshire,1716,2,624,BATTERY - SIMPLE ASSAULT,0554 0444 1601,27,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,12100    LOUISE                       AV,,34.2911,-118.514
241708456,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1715,17,Devonshire,1781,2,890,FAILURE TO YIELD,,0,X,X,101,STREET,,,IC,Invest Cont,890,,,,NORDHOFF,WINNETKA,34.2318,-118.5711
240708217,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1615,07,Wilshire,0732,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,745,,,,600 S  FAIRFAX                      AV,,34.0665,-118.3662
240908120,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0800,09,Van Nuys,0964,2,624,BATTERY - SIMPLE ASSAULT,0400 1236,35,M,H,301,GAS STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4800    VAN NUYS                     BL,,34.1603,-118.4399
240208956,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1910,02,Rampart,0271,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 1609 0344 1822,31,M,H,101,STREET,,,IC,Invest Cont,740,,,,W  OLYMPIC                      BL,PARK VIEW                    ST,34.0524,-118.2836
241708462,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2000,17,Devonshire,1792,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 1241 1814 0369 0446 1310 2000,32,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,TUNNEY                       AV,ROSCOE                       BL,34.2204,-118.5568
241700806,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2030,17,Devonshire,1764,1,330,BURGLARY FROM VEHICLE,1609 2032 0344 1307 1402,24,M,H,108,PARKING LOT,,,IC,Invest Cont,330,998,,,9300    TAMPA                        AV,,34.244,-118.5583
241708552,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2040,17,Devonshire,1764,1,330,BURGLARY FROM VEHICLE,1609 0344,74,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,9100    CORBIN                       AV,,34.2355,-118.5623
240908087,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0830,09,Van Nuys,0911,1,761,BRANDISH WEAPON,0334 1822,39,M,W,101,STREET,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,761,,,,VOSE                         ST,PEACH                        AV,34.1984,-118.4684
240708279,04/21/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0315,07,Wilshire,0774,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 1822,51,F,O,101,STREET,,,IC,Invest Cont,331,,,,1800 S  ORANGE                       DR,,34.043,-118.3488
240908201,04/19/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1845,09,Van Nuys,0964,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,HAZELTINE,HUSTON,34.1594,-118.44
